Компани	Ажлын зар	Салбар	Түвшин	Төрөл	Цалин	Байршил	Он сар	Тохиролцоно
Мобиком корпораци ХХК	БРОУДБЭНД ҮЙЛЧИЛГЭЭНИЙ ИНЖЕНЕР	Мэдээлэл технологи, Харилцаа холбоо	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 27. 11:33	False
Хаан даатгал	Давхар даатгалын менежер	Даатгал	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот	3 сарын 27. 11:33	False
Номин Холдинг ХХК	Ахлах менежер	Мэдээлэл технологи, Харилцаа холбоо	Дунд шатны удирдлага	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 27. 11:32	False
Хаан хүнс ХХК	Ахлах менежер	Ресторан, Хоол үйлдвэрлэл	Дунд шатны удирдлага	Ээлжийн	2,100,000 - 2,500,000	Булган аймаг	3 сарын 27. 11:31	False
Грийн Групп	БОРЛУУЛАЛТЫН ЖОЛООЧ	Тээвэр, гааль, агуулах	Мэргэжил хамаарахгүй	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот, Сонгинохайрхан дүүрэг	3 сарын 27. 11:31	False
Алтан Жолоо Трейд ХХК	Категори менежер  /Англи хэлтэй/	Худалдаа, Борлуулалт	Дунд шатны удирдлага	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 27. 11:30	False
Грийн Групп	Үйлдвэрийн инженер	Үйлдвэрлэл, Дэд бүтэц	Мэргэжилтэн	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот, Сонгинохайрхан дүүрэг	3 сарын 27. 11:30	False
Глобал Бридж Групп	ОФФИС ҮЙЛЧЛЭГЧ /Гурилын үйлдвэрт/	Үйлдвэрлэл, Дэд бүтэц	Мэргэжил хамаарахгүй	Бүтэн цагийн	800,000 - 1,000,000	Улаанбаатар хот, Баянгол дүүрэг	3 сарын 27. 11:30	False
Грийн Групп	ГАГНУУРЧИН	Үйлдвэрлэл, Дэд бүтэц	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Сонгинохайрхан дүүрэг	3 сарын 27. 11:29	False
Баясах хульж ХХК	БРЭНД МЕНЕЖЕР	Маркетинг, PR, Менежмент	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот	3 сарын 27. 11:29	False
